#This file contains the generated points and directions with the tangent plane method
#x	y	theta	phi	dir_x	dir_y	dir_z	pos_x	pos_y	pos_z

-99.9837	-3.33387	0.228445	4.91898	9.24095	-44.0934	193.766	-32.4798	138.725	-171.123	
-41.5875	154.426	1.00589	4.57865	-22.4048	-166.528	106.496	178.42	168.001	-71.3698	
21.3297	-2.70706	1.05036	2.45293	-133.261	109.685	98.9213	126.793	-100.855	-117.427	
65.0163	-150.99	0.692276	3.1514	-126.972	-1.24473	153.139	75.4449	151.737	-194.638	
-128.696	72.035	0.56145	0.345321	99.663	35.8523	168.395	-226.555	-4.94545	-99.8751	
75.4991	-74.5465	0.670165	3.79432	-98.1607	-75.0455	155.909	5.87795	98.3303	-202.802	
-186.39	196.654	0.36782	5.79161	63.0629	-33.7648	185.628	-123.568	289.227	-118.606	
12.7294	-87.5935	0.594622	0.511551	97.1761	54.5543	164.789	-45.1018	-125.773	-171.92	
-35.6252	-150.257	0.502878	3.49251	-90.0333	-32.9585	174.306	67.6933	184.789	-157.137	
-47.1184	-184.988	0.869618	4.0722	-90.7977	-121.904	128.336	-39.4027	256.783	-92.334	
-149.576	-137.562	1.0391	3.00455	-169.863	23.4259	100.859	263.78	102.486	28.0675	
-167.863	161.219	0.311991	4.64503	-4.10979	-60.9254	189.331	175.715	209.472	-137.805	
-198.58	186.71	0.308213	5.08302	21.858	-56.2504	189.56	83.6382	300.251	-129.32	
67.7703	-113.972	0.496733	1.78204	-19.8781	92.696	174.892	118.824	-10.5432	-207.188	
179.002	-171.777	1.18189	4.09175	-107.052	-149.75	75.4304	-72.161	194.433	-241.065	
3.47682	46.0089	0.928235	5.30267	88.6435	-132.31	119.211	-49.2605	156.188	-121.994	
100.038	-85.872	0.756408	2.65264	-120.533	64.1291	144.686	96.6347	45.8556	-213.344	
-40.0041	163.032	0.739414	5.124	53.6334	-122.856	146.985	83.9553	215.172	-120.028	
95.0517	29.5717	0.96549	3.3019	-161.492	-26.1122	113.196	112.82	-11.7136	-191.36	
59.7991	-141.042	0.665496	0.140692	121.618	17.2245	156.484	-55.2663	-150.277	-193.407	
-183.435	112.35	0.97047	1.20577	58.5975	153.336	112.38	-200.536	-210.027	38.9815	
-35.9947	0.159193	1.30077	1.04463	96.2883	165.793	53.0667	-101.248	-174.016	-18.3763	
-102.73	-26.6771	0.638572	1.92947	-41.6241	111.029	159.734	95.5592	-178.901	-98.502	
 -118.6	89.1286	0.597927	2.97916	-110.512	18.1103	164.42	192.831	-121.918	-97.6567	
111.385	119.379	0.68661	2.27629	-81.7698	96.0052	153.856	-64.97	-107.83	-224.465	
-75.368	83.0776	0.900421	5.02531	47.9868	-148.313	123.594	16.642	218.438	-64.5366	
186.432	121.784	0.341248	4.48229	-15.1845	-64.8213	187.463	93.6893	-134.006	-249.855	
137.642	106.012	0.0796927	3.87602	-11.7543	-10.6133	198.303	-19.0352	-160.02	-209.26	
 166.19	-180.806	0.838388	3.67056	-127.705	-74.6467	133.02	-59.4746	174.664	-256.593	
-45.1691	43.78	1.36095	5.30579	108.801	-161.307	41.4401	-77.7672	193.589	2.73816	
-25.1378	-10.8147	0.250964	1.37301	9.70755	48.4398	192.703	-3.88849	-74.4404	-186.46	
-145.567	-28.1781	0.487515	2.57294	-78.5222	50.181	175.758	202.065	-95.6926	-107.57	
68.7044	6.29862	0.672765	0.638077	99.5749	73.8406	155.587	-60.1653	-36.7747	-198.4	
-64.6872	167.997	1.13411	4.88797	31.4888	-177.495	84.137	129.146	233.778	-25.5201	
188.526	116.146	0.506462	0.149869	95.4187	14.4083	173.961	50.2516	125.051	-265.413	
-121.84	-118.889	0.841783	3.25114	-147.482	-16.2213	132.517	215.16	143.271	-41.6445	
26.6934	-65.313	0.809336	0.533084	124.014	73.1769	137.261	-74.9605	-120.067	-156.582	
 31.345	160.127	0.695174	5.48362	88.8148	-91.3681	152.77	42.7834	185.719	-172.847	
125.198	163.315	0.950816	5.26686	85.2454	-137.653	115.585	91.9001	161.793	-217.482	
-123.681	-1.70215	0.480672	2.37225	-66.077	63.9889	176.392	146.041	-139.057	-119.205	
-2.12106	185.155	1.23913	6.13619	186.064	-27.5487	64.7776	-159.629	210.809	-62.7721	
33.0529	183.342	1.26294	3.1456	-189.58	-0.759356	60.2812	180.299	-182.621	-91.78	
-183.45	10.9008	0.569332	5.70686	89.9168	-58.4402	167.555	-213.53	151.782	-68.6628	
-51.4116	127.105	0.346464	2.57917	-57.1476	36.0216	187.114	30.2792	-169.333	-169.656	
-104.061	-128.355	0.414399	3.3704	-78.0114	-18.1676	182.096	141.669	164.783	-140.197	
-104.353	-44.5651	0.312846	4.4504	-15.8579	-59.1364	189.278	-1.47021	166.579	-157.162	
136.036	-112.643	0.849618	3.17117	-149.34	-4.41801	131.351	56.2278	114.356	-233.517	
-134.287	-41.5391	0.705227	5.77028	112.357	-63.278	151.482	-221.838	77.2619	-64.436	
