#This file contains the generated points and directions with the tangent plane method
#x	y	theta	phi	dir_x	dir_y	dir_z	pos_x	pos_y	pos_z

-41.5875	154.426	1.00589	4.57865	-22.4048	-166.528	106.496	178.42	168.001	-71.3698	
65.0163	-150.99	0.692276	3.1514	-126.972	-1.24473	153.139	75.4449	151.737	-194.638	
-128.696	72.035	0.56145	0.345321	99.663	35.8523	168.395	-226.555	-4.94545	-99.8751	
-186.39	196.654	0.36782	5.79161	63.0629	-33.7648	185.628	-123.568	289.227	-118.606	
-25.1378	-10.8147	0.250964	1.37301	9.70755	48.4398	192.703	-3.88849	-74.4404	-186.46	
-35.6252	-150.257	0.502878	3.49251	-90.0333	-32.9585	174.306	67.6933	184.789	-157.137	
-149.576	-137.562	1.0391	3.00455	-169.863	23.4259	100.859	263.78	102.486	28.0675	
-167.863	161.219	0.311991	4.64503	-4.10979	-60.9254	189.331	175.715	209.472	-137.805	
67.7703	-113.972	0.496733	1.78204	-19.8781	92.696	174.892	118.824	-10.5432	-207.188	
100.038	-85.872	0.756408	2.65264	-120.533	64.1291	144.686	96.6347	45.8556	-213.344	
-64.6872	167.997	1.13411	4.88797	31.4888	-177.495	84.137	129.146	233.778	-25.5201	
95.0517	29.5717	0.96549	3.3019	-161.492	-26.1122	113.196	112.82	-11.7136	-191.36	
-121.84	-118.889	0.841783	3.25114	-147.482	-16.2213	132.517	215.16	143.271	-41.6445	
 31.345	160.127	0.695174	5.48362	88.8148	-91.3681	152.77	42.7834	185.719	-172.847	
-183.435	112.35	0.97047	1.20577	58.5975	153.336	112.38	-200.536	-210.027	38.9815	
-123.681	-1.70215	0.480672	2.37225	-66.077	63.9889	176.392	146.041	-139.057	-119.205	
33.0529	183.342	1.26294	3.1456	-189.58	-0.759356	60.2812	180.299	-182.621	-91.78	
-102.73	-26.6771	0.638572	1.92947	-41.6241	111.029	159.734	95.5592	-178.901	-98.502	
-51.4116	127.105	0.346464	2.57917	-57.1476	36.0216	187.114	30.2792	-169.333	-169.656	
111.385	119.379	0.68661	2.27629	-81.7698	96.0052	153.856	-64.97	-107.83	-224.465	
-104.353	-44.5651	0.312846	4.4504	-15.8579	-59.1364	189.278	-1.47021	166.579	-157.162	
186.432	121.784	0.341248	4.48229	-15.1845	-64.8213	187.463	93.6893	-134.006	-249.855	
-134.287	-41.5391	0.705227	5.77028	112.357	-63.278	151.482	-221.838	77.2619	-64.436	
137.642	106.012	0.0796927	3.87602	-11.7543	-10.6133	198.303	-19.0352	-160.02	-209.26	
122.192	197.822	0.613358	1.10893	51.0277	102.512	162.673	-183.597	75.0903	-233.008	
-93.5585	-13.2446	0.534191	2.94	-99.2354	20.2801	171.219	180.781	-23.4267	-123.584	
-91.8325	-178.443	0.941532	2.40281	-118.9	108.302	117.083	279.019	-12.7764	-42.8399	
102.367	142.775	0.0999035	5.94814	18.738	-6.524	197.942	124.401	107.868	-208.152	
135.918	87.7947	0.555449	0.954019	60.6769	85.5743	169.027	-65.4976	59.4135	-240.701	
75.6115	189.965	1.10675	5.94623	167.893	-58.8154	89.0365	-73.1499	226.909	-156.652	
68.6308	-93.1737	0.510013	5.46687	66.5167	-70.7626	173.618	-93.3818	-36.6954	-207.122	
-71.372	96.4816	0.589879	5.51708	79.743	-76.7238	165.316	-55.5894	187.372	-125.615	
-42.9332	-34.855	1.07733	3.60392	-156.808	-78.1448	94.2316	159.463	118.411	-56.4205	
-33.923	-46.4501	0.476847	2.34102	-63.5769	65.5357	176.743	117.902	-54.8248	-161.173	
34.2843	-153.949	0.783768	3.69654	-119.362	-73.9967	140.897	17.6089	192.048	-165.1	
195.722	-113.646	0.330559	2.3279	-44.3466	46.9304	188.164	-0.199502	165.678	-251.69	
20.5101	110.137	0.695009	1.86578	-37.0377	121.893	152.791	-72.9214	-138.841	-165.926	
162.708	96.9063	0.905962	4.19327	-77.6747	-135.939	122.728	112.014	0.706906	-250.783	
-136.902	-148.544	0.938362	3.29674	-158.531	-24.7951	117.592	215.53	184.059	-7.16797	
-121.652	-122.232	0.687633	0.221475	123.181	27.7366	153.727	-188.041	-167.633	-76.5134	
59.0405	89.7444	1.19525	0.201812	181.314	37.0964	72.9652	-178.088	55.1672	-127.891	
150.835	-17.1868	0.486361	5.06608	32.2066	-87.2286	175.866	-2.14362	-43.8144	-246.368	
-176.634	44.44	0.962026	5.30001	90.473	-135.822	113.763	-109.485	244.525	31.1395	
134.796	109.505	1.03181	1.23558	56.1657	161.229	102.106	-136.815	-59.8696	-217.792	
-94.9583	-15.0176	0.512694	0.165963	96.2418	16.1208	173.357	-175.373	-44.6024	-126.777	
136.888	-116.228	0.643395	3.52861	-110.517	-45.0434	159.16	-34.7694	111.34	-241.281	
-133.577	50.224	0.640196	5.78784	104.551	-56.4861	159.541	-174.927	151.594	-79.7488	
-144.686	185.391	0.888166	5.56283	116.01	-101.821	125.495	-62.3159	301.364	-13.231	
-156.087	-178.975	1.04237	5.96578	163.219	-53.6188	100.297	-293.841	-91.8554	34.4997	
153.221	-194.064	0.61325	1.40501	18.8946	112.923	162.685	193.187	-21.3656	-250.868	
-99.9837	-3.33387	0.228445	4.91898	9.24095	-44.0934	193.766	-32.4798	138.725	-171.123	
21.3297	-2.70706	1.05036	2.45293	-133.261	109.685	98.9213	126.793	-100.855	-117.427	
 166.19	-180.806	0.838388	3.67056	-127.705	-74.6467	133.02	-59.4746	174.664	-256.593	
75.4991	-74.5465	0.670165	3.79432	-98.1607	-75.0455	155.909	5.87795	98.3303	-202.802	
-45.1691	43.78	1.36095	5.30579	108.801	-161.307	41.4401	-77.7672	193.589	2.73816	
-145.567	-28.1781	0.487515	2.57294	-78.5222	50.181	175.758	202.065	-95.6926	-107.57	
12.7294	-87.5935	0.594622	0.511551	97.1761	54.5543	164.789	-45.1018	-125.773	-171.92	
68.7044	6.29862	0.672765	0.638077	99.5749	73.8406	155.587	-60.1653	-36.7747	-198.4	
-47.1184	-184.988	0.869618	4.0722	-90.7977	-121.904	128.336	-39.4027	256.783	-92.334	
188.526	116.146	0.506462	0.149869	95.4187	14.4083	173.961	50.2516	125.051	-265.413	
-198.58	186.71	0.308213	5.08302	21.858	-56.2504	189.56	83.6382	300.251	-129.32	
26.6934	-65.313	0.809336	0.533084	124.014	73.1769	137.261	-74.9605	-120.067	-156.582	
179.002	-171.777	1.18189	4.09175	-107.052	-149.75	75.4304	-72.161	194.433	-241.065	
125.198	163.315	0.950816	5.26686	85.2454	-137.653	115.585	91.9001	161.793	-217.482	
3.47682	46.0089	0.928235	5.30267	88.6435	-132.31	119.211	-49.2605	156.188	-121.994	
